"Date","Site.Name","RiverMile","RiverKM","Temperature.C.Daily","Turbidity.FNU.Daily","Season","Year"
2004-03-25,"Above_LCR",61,NA,10.3686458333333,NA,"spring","2004"
2004-03-25,"Below_LCR",66,NA,10.7884375,NA,"spring","2004"
2004-03-25,"Diamond",225,NA,13.6882291666667,NA,"spring","2004"
2004-03-25,"Glen_Canyon_Dam",-16,NA,9.0585,NA,"spring","2004"
2004-03-25,"LCR",NA,1,18.58625,NA,"spring","2004"
2004-03-25,"Lee's_Ferry",0,NA,9.563,NA,"spring","2004"
2004-03-25,"National",167,NA,12.6889583333333,NA,"spring","2004"
2004-03-25,"Phantom",88,NA,11.1583333333333,NA,"spring","2004"
2004-03-25,"Spencer",246,NA,13.8929166666667,NA,"spring","2004"
2004-03-26,"30-mile",30,NA,9.73864583333333,NA,"spring","2004"
2004-03-26,"Above_LCR",61,NA,10.3345833333333,NA,"spring","2004"
2004-03-26,"Below_LCR",66,NA,10.7220833333333,NA,"spring","2004"
2004-03-26,"Diamond",225,NA,13.5810416666667,NA,"spring","2004"
2004-03-26,"Glen_Canyon_Dam",-16,NA,9.04791666666667,NA,"spring","2004"
2004-03-26,"LCR",NA,1,17.8813541666667,NA,"spring","2004"
2004-03-26,"Lee's_Ferry",0,NA,9.17579861111111,NA,"spring","2004"
2004-03-26,"National",167,NA,12.4240625,NA,"spring","2004"
2004-03-26,"Phantom",88,NA,11.1133333333333,NA,"spring","2004"
2004-03-26,"Spencer",246,NA,13.90875,NA,"spring","2004"
2004-03-27,"30-mile",30,NA,9.47947916666667,NA,"spring","2004"
2004-03-27,"Above_LCR",61,NA,10.1227083333333,NA,"spring","2004"
2004-03-27,"Below_LCR",66,NA,10.480625,NA,"spring","2004"
2004-03-27,"Diamond",225,NA,13.26375,NA,"spring","2004"
2004-03-27,"Glen_Canyon_Dam",-16,NA,9.00444444444445,NA,"spring","2004"
2004-03-27,"LCR",NA,1,17.28625,NA,"spring","2004"
2004-03-27,"Lee's_Ferry",0,NA,9.07545138888889,NA,"spring","2004"
2004-03-27,"National",167,NA,12.1892708333333,NA,"spring","2004"
2004-03-27,"Phantom",88,NA,10.8085416666667,NA,"spring","2004"
2004-03-27,"Spencer",246,NA,13.596875,NA,"spring","2004"
2004-03-28,"30-mile",30,NA,9.55010416666667,NA,"spring","2004"
2004-03-28,"Above_LCR",61,NA,9.99697916666667,NA,"spring","2004"
2004-03-28,"Below_LCR",66,NA,10.32125,NA,"spring","2004"
2004-03-28,"Diamond",225,NA,13.0105208333333,NA,"spring","2004"
2004-03-28,"Glen_Canyon_Dam",-16,NA,8.99486111111111,NA,"spring","2004"
2004-03-28,"LCR",NA,1,16.6142708333333,NA,"spring","2004"
2004-03-28,"Lee's_Ferry",0,NA,9.05586805555556,NA,"spring","2004"
2004-03-28,"National",167,NA,11.9809375,NA,"spring","2004"
2004-03-28,"Phantom",88,NA,10.6673958333333,NA,"spring","2004"
2004-03-28,"Spencer",246,NA,13.3396875,NA,"spring","2004"
2004-03-29,"30-mile",30,NA,9.53770833333333,NA,"spring","2004"
2004-03-29,"Above_LCR",61,NA,10.2054166666667,NA,"spring","2004"
2004-03-29,"Below_LCR",66,NA,10.5671875,NA,"spring","2004"
2004-03-29,"Diamond",225,NA,12.8376041666667,NA,"spring","2004"
2004-03-29,"Glen_Canyon_Dam",-16,NA,9.01097222222222,NA,"spring","2004"
2004-03-29,"LCR",NA,1,16.718125,NA,"spring","2004"
2004-03-29,"Lee's_Ferry",0,NA,9.41798611111111,NA,"spring","2004"
2004-03-29,"National",167,NA,11.8558333333333,NA,"spring","2004"
2004-03-29,"Phantom",88,NA,10.6778125,NA,"spring","2004"
2004-03-29,"Spencer",246,NA,13.1442708333333,NA,"spring","2004"
2004-03-30,"30-mile",30,NA,9.76072916666667,NA,"spring","2004"
