OBJECTID,UNIT,SHORE_LEN,HABITAT,KM,SIDE,UNPADDED_STATION_ID,UP_KM,DOWN_KM,LON_SH_ST,LAT_SH_ST,LON_SH_EN,LAT_SH_EN,LON_CL_ST,LAT_CL_ST,LON_CL_EN,LAT_CL_EN,STATION_TYPE,AGF_LEGACY_NAME,SHAPE,STATION_ID,UP_RM,DOWN_RM,RIVER_CODE
10421,,,,48.54,L,S14.33L,,,-111.7109674,36.70253027,,,,,,,46,213L,213,S+014.33L,,14.33,COR
10422,,,,48.66,R,S14.40R,,,-111.7118285,36.70154154,,,,,,,46,789R,789,S+014.40R,,14.4,COR
10423,,,,48.75,L,S14.46L,,,-111.7117966,36.70061751,,,,,,,46,214L,214,S+014.46L,,14.46,COR
10424,,,,48.88,R,S14.53R,,,-111.7127295,36.69968026,,,,,,,46,790R,790,S+014.53R,,14.53,COR
10425,,,,48.97,L,S14.59L,,,-111.712429,36.69874026,,,,,,,46,215L,215,S+014.59L,,14.59,COR
10426,,,,49.11,R,S14.68R,,,-111.7135621,36.69767517,,,,,,,46,791R,791,S+014.68R,,14.68,COR
10427,,,,49.19,L,S14.73L,,,-111.7130866,36.69678236,,,,,,,46,216L,216,S+014.73L,,14.73,COR
10428,,,,49.36,R,S14.84R,,,-111.7148466,36.69589409,,,,,,,46,792R,792,S+014.84R,,14.84,COR
10429,,,,49.42,L,S14.87L,,,-111.7148654,36.69516066,,,,,,,46,217L,217,S+014.87L,,14.87,COR
10430,,,,49.59,R,S14.98R,,,-111.7166201,36.69449798,,,,,,,46,793R,793,S+014.98R,,14.98,COR
10431,,,,49.65,L,S15.01L,,,-111.7170077,36.693961,,,,,,,46,218L,218,S+015.01L,,15.01,COR
10432,,,,49.81,R,S15.12R,,,-111.7189019,36.69363973,,,,,,,46,794R,794,S+015.12R,,15.12,COR
10433,,,,49.88,L,S15.16L,,,-111.7193116,36.69295209,,,,,,,46,219L,219,S+015.16L,,15.16,COR
10434,,,,50.06,R,S15.27R,,,-111.7215157,36.69309339,,,,,,,46,795R,795,S+015.27R,,15.27,COR
10435,,,,50.12,L,S15.31L,,,-111.7217526,36.69239553,,,,,,,46,220L,220,S+015.31L,,15.31,COR
10436,,,,50.3,R,S15.42R,,,-111.724007,36.69232442,,,,,,,46,796R,796,S+015.42R,,15.42,COR
10437,,,,50.35,L,S15.45L,,,-111.724197,36.69157194,,,,,,,46,221L,221,S+015.45L,,15.45,COR
10438,,,,50.49,R,S15.54R,,,-111.7260272,36.69168288,,,,,,,46,797R,797,S+015.54R,,15.54,COR
10439,,,,50.58,L,S15.59L,,,-111.7264982,36.69071989,,,,,,,46,222L,222,S+015.59L,,15.59,COR
10440,,,,50.73,R,S15.69R,,,-111.7283635,36.69056487,,,,,,,46,798R,798,S+015.69R,,15.69,COR
10441,,,,50.8,L,S15.73L,,,-111.7286303,36.68976408,,,,,,,46,223L,223,S+015.73L,,15.73,COR
10442,,,,50.96,R,S15.83R,,,-111.7306386,36.68957143,,,,,,,46,799R,799,S+015.83R,,15.83,COR
10443,,,,51.04,L,S15.88L,,,-111.730802,36.68859567,,,,,,,46,224L,224,S+015.88L,,15.88,COR
10444,,,,51.18,R,S15.97R,,,-111.7325074,36.68831596,,,,,,,46,800R,800,S+015.97R,,15.97,COR
10445,,,,51.28,L,S16.03L,,,-111.7330502,36.68731731,,,,,,,46,225L,225,S+016.03L,,16.03,COR
10446,,,,51.39,R,S16.10R,,,-111.7345915,36.68727014,,,,,,,46,801R,801,S+016.10R,,16.1,COR
10447,,,,51.52,L,S16.18L,,,-111.7351126,36.68600642,,,,,,,46,226L,226,S+016.18L,,16.18,COR
10448,,,,51.63,R,S16.24R,,,-111.7364846,36.68573919,,,,,,,46,802R,802,S+016.24R,,16.24,COR
10449,,,,51.78,L,S16.34L,,,-111.7368215,36.68425582,,,,,,,46,227L,227,S+016.34L,,16.34,COR
10450,,,,51.84,R,S16.38R,,,-111.7380054,36.68405558,,,,,,,46,803R,803,S+016.38R,,16.38,COR
10451,,,,52.02,L,S16.49L,,,-111.7381118,36.68235341,,,,,,,46,228L,228,S+016.49L,,16.49,COR
10452,,,,52.05,R,S16.51R,,,-111.7389714,36.68242601,,,,,,,46,804R,804,S+016.51R,,16.51,COR
10453,,,,52.25,L,S16.63L,,,-111.7394455,36.68063738,,,,,,,46,229L,229,S+016.63L,,16.63,COR
10454,,,,52.28,R,S16.65R,,,-111.740132,36.68046425,,,,,,,46,805R,805,S+016.65R,,16.65,COR
10455,,,,52.48,L,S16.78L,,,-111.7392591,36.67859715,,,,,,,46,230L,230,S+016.78L,,16.78,COR
10456,,,,52.5,R,S16.79R,,,-111.7403519,36.67844813,,,,,,,46,806R,806,S+016.79R,,16.79,COR
10457,,,,52.73,L,S16.93L,,,-111.7396694,36.67638471,,,,,,,46,231L,231,S+016.93L,,16.93,COR
10458,,,,52.75,R,S16.94R,,,-111.7406568,36.67628592,,,,,,,46,807R,807,S+016.94R,,16.94,COR
10459,,,,52.97,L,S17.08L,,,-111.7399096,36.67426189,,,,,,,46,232L,232,S+017.08L,,17.08,COR
10460,,,,52.98,R,S17.08R,,,-111.740802,36.67409263,,,,,,,46,808R,808,S+017.08R,,17.08,COR
10461,,,,53.2,L,S17.22L,,,-111.7399834,36.67216286,,,,,,,46,233L,233,S+017.22L,,17.22,COR
10462,,,,53.2,R,S17.22R,,,-111.7409526,36.67243443,,,,,,,46,809R,809,S+017.22R,,17.22,COR
10463,,,,53.43,R,S17.36R,,,-111.7410053,36.67025623,,,,,,,46,810R,810,S+017.36R,,17.36,COR
10464,,,,53.45,L,S17.38L,,,-111.740312,36.67004805,,,,,,,46,234L,234,S+017.38L,,17.38,COR
